calc label enthalpy
e2ts_C_C_A_E_B_B_e2ts_C_C_A_E_B_D e2ts_C_C_A_E_B_B_e2ts_C_C_A_E_B_D -3350.94062143
e2ts_E_C_B_A_C_A_e2ts_E_C_B_A_B_A e2ts_E_C_B_A_C_A_e2ts_E_C_B_A_B_A -890.61894436
e2ts_E_B_E_A_C_B_e2ts_E_B_A_A_C_B e2ts_E_B_E_A_C_B_e2ts_E_B_A_A_C_B -3010.92069895
e2ts_C_E_D_A_C_A_e2ts_C_E_B_A_C_A e2ts_C_E_D_A_C_A_e2ts_C_E_B_A_C_A -3003.83479071
e2ts_B_B_E_A_B_A_e2ts_B_B_B_A_B_A e2ts_B_B_E_A_B_A_e2ts_B_B_B_A_B_A -1151.61930312
e2ts_E_B_E_E_A_A_e2ts_E_B_E_E_C_A e2ts_E_B_E_E_A_A_e2ts_E_B_E_E_C_A -3022.15854684
e2ts_C_C_D_C_B_A_e2ts_C_C_E_C_B_A e2ts_C_C_D_C_B_A_e2ts_C_C_E_C_B_A -870.60320321
e2ts_E_A_B_D_B_B_e2ts_E_A_B_D_C_B e2ts_E_A_B_D_B_B_e2ts_E_A_B_D_C_B -3050.10773096
e2ts_D_B_E_E_B_C_e2ts_D_B_D_E_B_C e2ts_D_B_E_E_B_C_e2ts_D_B_D_E_B_C -1336.09180338
e2ts_C_B_A_E_A_A_e2ts_C_B_C_E_A_A e2ts_C_B_A_E_A_A_e2ts_C_B_C_E_A_A -622.66664144
e2ts_E_E_D_C_A_A_e2ts_E_E_C_C_A_A e2ts_E_E_D_C_A_A_e2ts_E_E_C_C_A_A -473.76003779
e2ts_C_C_E_E_C_C_e2ts_C_C_C_E_C_C e2ts_C_C_E_E_C_C_e2ts_C_C_C_E_C_C -3443.03643334
e2ts_B_D_D_D_B_C_e2ts_B_D_C_D_B_C e2ts_B_D_D_D_B_C_e2ts_B_D_C_D_B_C -1224.01933689
e2ts_C_B_A_A_C_A_e2ts_C_B_A_B_C_A e2ts_C_B_A_A_C_A_e2ts_C_B_A_B_C_A -3006.13694859
e2ts_C_C_C_D_B_A_e2ts_C_C_C_D_C_A e2ts_C_C_C_D_B_A_e2ts_C_C_C_D_C_A -2967.76352098
e2ts_A_E_D_A_B_B_e2ts_E_E_D_A_B_B e2ts_A_E_D_A_B_B_e2ts_E_E_D_A_B_B -787.97995931
e2ts_C_A_E_E_C_C_e2ts_C_E_E_E_C_C e2ts_C_A_E_E_C_C_e2ts_C_E_E_E_C_C -3369.32267158
e2ts_E_C_E_E_B_C_e2ts_E_C_E_E_C_C e2ts_E_C_E_E_B_C_e2ts_E_C_E_E_C_C -3369.29919350
e2ts_B_B_E_E_C_A_e2ts_B_B_E_E_C_B e2ts_B_B_E_E_C_A_e2ts_B_B_E_E_C_B -3270.26850723
e2ts_E_B_A_D_C_A_e2ts_E_B_E_D_C_A e2ts_E_B_A_D_C_A_e2ts_E_B_E_D_C_A -3006.12482951
e2ts_A_C_E_D_B_B_e2ts_B_C_E_D_B_B e2ts_A_C_E_D_B_B_e2ts_B_C_E_D_B_B -1028.95794325
e2ts_B_C_A_A_A_A_e2ts_B_C_A_C_A_A e2ts_B_C_A_A_A_A_e2ts_B_C_A_C_A_A -567.45449515
e2ts_D_A_E_C_A_A_e2ts_D_D_E_C_A_A e2ts_D_A_E_C_A_A_e2ts_D_D_E_C_A_A -404.78773068
e2ts_C_A_D_C_C_C_e2ts_C_D_D_C_C_C e2ts_C_A_D_C_C_C_e2ts_C_D_D_C_C_C -3374.10021957
e2ts_D_E_E_E_A_C_e2ts_D_C_E_E_A_C e2ts_D_E_E_E_A_C_e2ts_D_C_E_E_A_C -880.00155589
