calc label enthalpy
sn2_E_A_B_C_A_A sn2_E_A_B_C_A_A -530.56165129
sn2_E_A_B_B_C_B sn2_E_A_B_B_C_B -3215.05520885
sn2_E_A_B_B_C_A sn2_E_A_B_B_C_A -3115.86663017
sn2_E_A_B_B_A_C sn2_E_A_B_B_A_C -1101.85955409
sn2_E_A_B_B_A_B sn2_E_A_B_B_A_B -741.82405337
sn2_E_A_B_A_C_A sn2_E_A_B_A_C_A -2911.70756709
sn2_E_A_B_A_B_A sn2_E_A_B_A_B_A -798.50548262
sn2_E_A_B_A_A_D sn2_E_A_B_A_A_D -3010.90497661
sn2_E_A_B_A_A_C sn2_E_A_B_A_A_C -897.70325205
sn2_E_A_A_D_B_B sn2_E_A_A_D_B_B -732.70599112
sn2_E_A_A_D_A_C sn2_E_A_A_D_A_C -732.70529401
sn2_E_A_A_D_A_B sn2_E_A_A_D_A_B -372.66223356
sn2_E_A_A_C_B_B sn2_E_A_A_C_B_B -785.62392795
sn2_E_A_A_C_A_D sn2_E_A_A_C_A_D -2898.82566417
sn2_E_A_A_C_A_C sn2_E_A_A_C_A_C -785.62408592
sn2_E_A_A_A_B_B sn2_E_A_A_A_B_B -693.53303225
sn2_E_A_A_A_B_A sn2_E_A_A_A_B_A -594.33538722
sn2_E_A_A_A_A_C sn2_E_A_A_A_A_C -693.53312987
sn2_D_E_E_E_A_B sn2_D_E_E_E_A_B -483.10633150
sn2_D_E_E_E_A_A sn2_D_E_E_E_A_A -383.90306314
sn2_D_E_E_D_C_A sn2_D_E_E_D_C_A -2841.08947396
sn2_D_E_E_C_B_A sn2_D_E_E_C_B_A -780.80842261
sn2_D_E_E_C_A_B sn2_D_E_E_C_A_B -519.98227187
sn2_D_E_D_E_A_A sn2_D_E_D_E_A_A -367.85384590
sn2_D_E_D_D_A_B sn2_D_E_D_D_A_B -451.01317211
sn2_D_E_D_D_A_A sn2_D_E_D_D_A_A -351.81314284
sn2_D_E_D_C_A_A sn2_D_E_D_C_A_A -404.74157566
sn2_D_E_D_B_A_B sn2_D_E_D_B_A_B -616.01997342
sn2_D_E_D_A_B_A sn2_D_E_D_A_B_A -672.67401955
sn2_D_E_C_E_A_A sn2_D_E_C_E_A_A -420.77482612
sn2_D_E_C_D_A_A sn2_D_E_C_D_A_A -404.73717229
sn2_D_E_C_C_B_B sn2_D_E_C_C_B_B -916.87945683
sn2_D_E_C_C_A_B sn2_D_E_C_C_A_B -556.85076131
sn2_D_E_C_B_A_A sn2_D_E_C_B_A_A -569.73572529
sn2_D_E_C_A_A_B sn2_D_E_C_A_A_B -464.76153654
sn2_D_E_C_A_A_A sn2_D_E_C_A_A_A -365.56235113
sn2_D_E_B_E_A_A sn2_D_E_B_E_A_A -532.85769601
sn2_D_E_B_D_B_A sn2_D_E_B_D_B_A -876.83608515
sn2_D_E_B_D_A_A sn2_D_E_B_D_A_A -516.81168624
sn2_D_E_A_E_A_B sn2_D_E_A_E_A_B -427.87538243
sn2_D_E_A_D_A_A sn2_D_E_A_D_A_A -312.63777758
sn2_D_E_A_C_A_B sn2_D_E_A_C_A_B -464.76336887
sn2_D_E_A_B_C_A sn2_D_E_A_B_C_A -2950.86977898
sn2_D_E_A_B_B_A sn2_D_E_A_B_B_A -837.66927239
sn2_D_E_A_B_A_C sn2_D_E_A_B_A_C -936.87266552
sn2_D_D_E_E_B_B sn2_D_D_E_E_B_B -827.08375844
sn2_D_D_E_E_A_C sn2_D_D_E_E_A_C -827.08609074
