calc label enthalpyR enthalpyP
sn2_E_A_B_D_B_B sn2_E_A_B_D_B_B -837.18617410 -477.17344220
sn2_E_A_B_D_B_A sn2_E_A_B_D_B_A -837.17689923 -378.05256590
sn2_E_A_B_D_A_D sn2_E_A_B_D_A_D -477.16443756 -2950.38103635
sn2_E_A_B_C_B_B sn2_E_A_B_C_B_B -890.06750189 -530.05765829
sn2_E_A_B_C_A_A sn2_E_A_B_C_A_A -529.91095125 -430.94794943
sn2_E_A_B_B_C_B sn2_E_A_B_B_C_B -3115.33425438 -642.14050541
sn2_E_A_B_B_C_A sn2_E_A_B_B_C_A -543.02502308
sn2_E_A_B_B_A_C sn2_E_A_B_B_A_C -642.12785767 -1002.15316332
sn2_E_A_B_B_A_B sn2_E_A_B_B_A_B -642.12866725 -642.13084883
sn2_E_A_B_A_C_A sn2_E_A_B_A_C_A -338.87334048
sn2_E_A_B_A_B_A sn2_E_A_B_A_B_A -797.99780554 -338.87334128
sn2_E_A_B_A_A_D sn2_E_A_B_A_A_D -437.98529230 -2911.20375439
sn2_E_A_B_A_A_C sn2_E_A_B_A_A_C -437.98528607 -797.99779737
sn2_E_A_A_D_B_B sn2_E_A_A_D_B_B -632.98896230 -273.00494326
sn2_E_A_A_D_A_C sn2_E_A_A_D_A_C -273.00419367 -633.01636815
sn2_E_A_A_D_A_B sn2_E_A_A_D_A_B -273.00419724 -273.00422714
sn2_E_A_A_C_B_B sn2_E_A_A_C_B_B -685.92076503 -325.91090546
sn2_E_A_A_C_A_D sn2_E_A_A_C_A_D -325.91892314 -2799.11586670
sn2_E_A_A_C_A_C sn2_E_A_A_C_A_C -325.91892316 -685.92080496
sn2_E_A_A_A_B_B sn2_E_A_A_A_B_B -593.84431832 -233.83238019
sn2_E_A_A_A_B_A sn2_E_A_A_A_B_A -134.71439915
sn2_E_A_A_A_A_C sn2_E_A_A_A_A_C -233.83237340 -593.84434412
sn2_D_E_E_E_A_B sn2_D_E_E_E_A_B -383.43903709 -383.43921343
sn2_D_E_E_E_A_A sn2_D_E_E_E_A_A -383.43904332 -284.31588644
sn2_D_E_E_D_C_A sn2_D_E_E_D_C_A -268.27455470
sn2_D_E_E_C_B_A sn2_D_E_E_C_B_A -321.18179316
sn2_D_E_E_C_A_B sn2_D_E_E_C_A_B -420.30193744 -420.30812122
sn2_D_E_D_E_A_A sn2_D_E_D_E_A_A -367.39763495 -268.27578565
sn2_D_E_D_D_A_B sn2_D_E_D_D_A_B -351.35882714 -351.35927050
sn2_D_E_D_D_A_A sn2_D_E_D_D_A_A -351.35879684 -252.23805010
sn2_D_E_D_C_A_A sn2_D_E_D_C_A_A -404.26710330 -305.14833271
sn2_D_E_D_B_A_B sn2_D_E_D_B_A_B -516.34595886 -516.34920597
sn2_D_E_D_A_B_A sn2_D_E_D_A_B_A -672.19771442 -213.06505109
sn2_D_E_C_E_A_A sn2_D_E_C_E_A_A -420.30157742 -321.18788731
sn2_D_E_C_D_A_A sn2_D_E_C_D_A_A -404.26405456 -305.14688295
sn2_D_E_C_C_B_B sn2_D_E_C_C_B_B -817.18105963 -457.16983773
sn2_D_E_C_C_A_B sn2_D_E_C_C_A_B -457.16039316 -457.16236832
sn2_D_E_C_B_A_A sn2_D_E_C_B_A_A -569.08474337 -470.12407443
sn2_D_E_C_A_A_B sn2_D_E_C_A_A_B -365.09087258 -365.09085315
sn2_D_E_C_A_A_A sn2_D_E_C_A_A_A -365.09055901 -265.97349919
sn2_D_E_B_E_A_A sn2_D_E_B_E_A_A -532.39131349 -433.27542970
sn2_D_E_B_D_B_A sn2_D_E_B_D_B_A -876.35472185 -417.22864218
sn2_D_E_B_D_A_A sn2_D_E_B_D_A_A -516.34561082 -417.22861585
sn2_D_E_A_E_A_B sn2_D_E_A_E_A_B -328.22056454 -328.21788718
sn2_D_E_A_D_A_A sn2_D_E_A_D_A_A -312.18527243 -213.06366420
sn2_D_E_A_C_A_B sn2_D_E_A_C_A_B -365.09225649 -365.09224715
sn2_D_E_A_B_C_A sn2_D_E_A_B_C_A -378.05208570
sn2_D_E_A_B_B_A sn2_D_E_A_B_B_A -837.17759265 -378.05209665
sn2_D_E_A_B_A_C sn2_D_E_A_B_A_C -477.16650083 -837.17761077
sn2_D_D_E_E_B_B sn2_D_D_E_E_B_B -727.41118095 -367.39717825
sn2_D_D_E_E_A_C sn2_D_D_E_E_A_C -367.39352259 -727.41450330
sn2_D_D_E_E_A_B sn2_D_D_E_E_A_B -367.39759078 -367.39739687
sn2_D_D_E_E_A_A sn2_D_D_E_E_A_A -367.39354944 -268.27842221
sn2_D_D_E_D_C_B sn2_D_D_E_D_C_B -2824.56499770 -351.35652888
sn2_D_D_E_D_B_B sn2_D_D_E_D_B_B -711.36854282 -351.35653207
sn2_D_D_E_D_A_B sn2_D_D_E_D_A_B -351.35545460 -351.35652947
sn2_D_D_E_C_C_B sn2_D_D_E_C_C_B -2877.47393865 -404.26169421
sn2_D_D_E_C_B_D sn2_D_D_E_C_B_D -764.27908086 -2877.47261809
sn2_D_D_E_C_B_C sn2_D_D_E_C_B_C -764.27907925 -764.27802418
sn2_D_D_E_C_A_D sn2_D_D_E_C_A_D -404.26246312 -2877.47265624
sn2_D_D_E_C_A_C sn2_D_D_E_C_A_C -404.25554441 -764.27801391
sn2_D_D_E_C_A_B sn2_D_D_E_C_A_B -404.25729750 -404.25871900
sn2_D_D_E_B_B_A sn2_D_D_E_B_B_A -417.22914555
sn2_D_D_E_B_A_C sn2_D_D_E_B_A_C -516.34856083 -876.36207500
sn2_D_D_E_A_C_B sn2_D_D_E_A_C_B -2785.39072416 -312.18017484
sn2_D_D_E_A_B_C sn2_D_D_E_A_B_C -672.19436820 -672.19746301
sn2_D_D_E_A_B_A sn2_D_D_E_A_B_A -672.19413580 -213.06273898
sn2_D_D_E_A_A_D sn2_D_D_E_A_A_D -312.18019367 -2785.39247551
sn2_D_D_E_A_A_C sn2_D_D_E_A_A_C -312.18017263 -672.19745988
sn2_D_D_E_A_A_A sn2_D_D_E_A_A_A -312.17938849 -213.06273929
sn2_D_D_D_E_C_B sn2_D_D_D_E_C_B -2824.56742955 -351.35544073
sn2_D_D_D_E_C_A sn2_D_D_D_E_C_A -2824.56743070 -252.23804396
sn2_D_D_D_E_B_A sn2_D_D_D_E_B_A -711.37247810 -252.23804155
sn2_D_D_D_E_A_D sn2_D_D_D_E_A_D -351.35532332 -2824.56630686
sn2_D_D_D_E_A_C sn2_D_D_D_E_A_C -351.35530727 -711.37186617
sn2_D_D_D_E_A_B sn2_D_D_D_E_A_B -351.35533028 -351.35541846
sn2_D_D_D_D_A_C sn2_D_D_D_D_A_C -335.31627379 -695.33292061
sn2_D_D_D_D_A_B sn2_D_D_D_D_A_B -335.31628200 -335.31710416
sn2_D_D_D_C_C_B sn2_D_D_D_C_C_B -2861.43603408 -388.22520386
sn2_D_D_D_C_B_B sn2_D_D_D_C_B_B -748.24126349 -388.22521739
sn2_D_D_D_C_A_C sn2_D_D_D_C_A_C -388.22514038 -748.24105845
