calc label energy
e2ts_E_B_D_A_B_C-e2ts_E_B_D_E_B_A e2ts_E_B_D_E_B_A -893.010464144038
e2ts_E_B_D_A_B_C-e2ts_E_B_A_A_B_A e2ts_E_B_A_A_B_A -798.572367336537
e2ts_E_B_D_A_B_C-e2ts_E_A_D_A_B_A e2ts_E_A_D_A_B_A -633.600716342156
e2ts_E_B_D_A_B_B-e2ts_E_C_D_A_B_B e2ts_E_C_D_A_B_B -824.878108250399
e2ts_E_B_D_A_B_B-e2ts_E_B_E_A_B_B e2ts_E_B_E_A_B_B -952.983234287211
e2ts_E_B_D_A_B_B-e2ts_D_B_D_A_B_B e2ts_D_B_D_A_B_B -920.930373995869
e2ts_E_B_D_A_B_A-e2ts_E_B_D_A_B_B e2ts_E_B_D_A_B_B -936.961804585925
e2ts_E_B_D_A_B_A e2ts_E_B_D_A_B_A -837.773205742769
e2ts_E_B_D_A_A_A-e2ts_E_B_D_E_A_A e2ts_E_B_D_E_A_A -532.993461858766
e2ts_E_B_D_A_A_A e2ts_E_B_D_A_A_A -477.757405244294
e2ts_E_B_C_A_C_A e2ts_E_B_C_A_C_A -3003.863370905008
e2ts_E_B_C_A_B_A e2ts_E_B_C_A_B_A -890.679924400426
e2ts_E_B_A_E_C_A e2ts_E_B_A_E_C_A -2967.003251032609
e2ts_E_B_A_D_B_D-e2ts_E_B_C_D_B_A e2ts_E_B_C_D_B_A -929.874793641557
e2ts_E_B_A_D_B_D-e2ts_E_B_A_E_B_A e2ts_E_B_A_E_B_A -853.805335302125
e2ts_E_B_A_D_B_A e2ts_E_B_A_D_B_A -837.777191843778
e2ts_E_B_A_C_C_A-e2ts_E_B_A_C_C_B e2ts_E_B_A_C_C_B -3103.071497576212
e2ts_E_B_A_C_B_A e2ts_E_B_A_C_B_A -890.672723654826
e2ts_E_B_A_A_B_A e2ts_E_B_A_A_B_A -798.572367229953
e2ts_E_B_A_A_A_A e2ts_E_B_A_A_A_A -438.557865379835
